"id","status","module","process_date"
"2a07f794-667e-52d7-89b4-be12855c0d9e",declined,CLAIM,"2025-06-05"
"2e4ef254-1292-54a4-b042-fc66729faab7",paid,CLAIM,"2025-06-05"
"30c84561-749f-5233-8e08-d10b89dd5f8a",open,CLAIM,"2025-06-05"
"69490d34-f97f-570d-adc4-9b2a6959faec",open,INVOICE,"2025-06-05"
"696eb55a-eeb0-52db-b197-7ab330d523c3",adjusting-approval,CLAIM,"2025-06-05"
"747551b2-bf67-5da3-acd7-ab7158d06308",void,INVOICE,"2025-06-05"
"7de2efc5-edbd-5439-a629-678fef2d8908",update-requested,CLAIM,"2025-06-05"
"7e59d3b3-9f19-5bcc-91cb-f5e1f29369e0",shortfall-requested,CLAIM,"2025-06-05"
"88265c90-2cf2-51b5-8234-6113c2d461b2",accepted,CLAIM,"2025-06-05"
"89bb8ca8-2284-5d58-8d03-855c84a28192",escalated,CLAIM,"2025-06-05"
"8eda12e7-13f2-5d3f-9539-c07ae6af775d",canceled,CLAIM,"2025-06-05"
a0400ab2-936a-51e2-a176-5b780492f1c9,free,INVOICE,"2025-06-05"
ad4b2c30-c369-51b0-9af3-4ae1815c3acc,withdrawn,CLAIM,"2025-06-05"
bac01465-3b1f-5712-a588-c6ab2b653459,paid,INVOICE,"2025-06-05"
c2ba4049-1a97-547d-952d-deca9401fab3,refunded,INVOICE,"2025-06-05"
f2a95841-9815-5645-babb-ee1c91394e54,updated,CLAIM,"2025-06-05"
f42eec81-c150-5d72-97b4-f2f022ff2bd2,payment-requested,CLAIM,"2025-06-05"
